sensor_type,device_type,timestamps,seconds_elapsed,lux
light,smartphone,1654705214606364200,0.1683642578125,98.010
light,smartphone,1654705214766362400,0.3283623046875,115.020
light,smartphone,1654705214926362400,0.4883623046875,114.008
light,smartphone,1654705215246365400,0.808365478515625,112.995
light,smartphone,1654705215406350600,0.9683505859375,110.025
light,smartphone,1654705215566365700,1.12836572265625,109.013
light,smartphone,1654705215726362400,1.2883623046875,114.008
light,smartphone,1654705215886363100,1.448363037109375,117.990
light,smartphone,1654705216046364700,1.60836474609375,119.003
light,smartphone,1654705216206354400,1.7683544921875,114.008
light,smartphone,1654705216366350300,1.928350341796875,110.970
light,smartphone,1654705216526353700,2.088353759765625,116.978
light,smartphone,1654705216686365200,2.248365234375,110.025
light,smartphone,1654705217263286800,2.825286865234375,2.970
light,smartphone,1654705217463287300,3.025287353515625,0.000
light,smartphone,1654705221063278000,6.625278076171875,0.000
light,smartphone,1654705221663274800,7.225274658203125,0.000
light,smartphone,1654705226063287000,11.625287109375,0.000
light,smartphone,1654705226463391000,12.025390869140624,0.000
light,smartphone,1654705226663273000,12.22527294921875,0.000
light,smartphone,1654705226863272400,12.4252724609375,0.000
light,smartphone,1654705231663275000,17.22527490234375,0.000
light,smartphone,1654705231863272700,17.425272705078125,0.000
light,smartphone,1654705237263266300,22.825266357421874,0.000
light,smartphone,1654705238063284200,23.6252841796875,0.000
light,smartphone,1654705238863272200,24.425272216796873,0.000
light,smartphone,1654705239463272400,25.0252724609375,0.000
light,smartphone,1654705239663270700,25.225270751953126,0.000
light,smartphone,1654705240063273000,25.62527294921875,0.000
light,smartphone,1654705242663273000,28.22527294921875,0.000
light,smartphone,1654705245863283200,31.425283203125,0.000
light,smartphone,1654705246463272700,32.02527270507812,0.000
light,smartphone,1654705247663273500,33.2252734375,0.000
light,smartphone,1654705248463385600,34.02538549804687,0.000
light,smartphone,1654705249663287000,35.225287109375,0.000
light,smartphone,1654705249863269600,35.42526953125,0.000
light,smartphone,1654705250463385300,36.02538525390625,0.000
light,smartphone,1654705250663286800,36.225286865234374,0.000
light,smartphone,1654705251063273000,36.62527294921875,0.000
light,smartphone,1654705254463251500,40.02525146484375,9.990
light,smartphone,1654705254663254300,40.225254150390626,8.977
light,smartphone,1654705254863257300,40.42525732421875,65.003
light,smartphone,1654705255063260400,40.62526049804688,89.033
light,smartphone,1654705255263273000,40.82527294921875,104.018
light,smartphone,1654705255418788400,40.98078833007813,104.018
light,smartphone,1654705255658788600,41.22078857421875,74.993
light,smartphone,1654705255818784500,41.380784423828125,76.005
light,smartphone,1654705255978787300,41.540787353515626,89.978
light,smartphone,1654705256138790000,41.700789794921874,100.980
light,smartphone,1654705256298788000,41.8607880859375,101.993
light,smartphone,1654705256458787800,42.020787841796874,98.010
light,smartphone,1654705256618787600,42.18078759765625,95.985
light,smartphone,1654705256778774800,42.34077490234375,94.028
light,smartphone,1654705256938788000,42.5007880859375,96.998
light,smartphone,1654705257098788000,42.6607880859375,94.973
light,smartphone,1654705257418787000,42.980787109375,98.010
light,smartphone,1654705257578790000,43.14078979492187,99.968
light,smartphone,1654705257738779100,43.30077905273438,99.023
light,smartphone,1654705257898796500,43.46079663085938,100.980
light,smartphone,1654705258058787800,43.620787841796876,101.993
light,smartphone,1654705258218791000,43.780791015625,100.980
light,smartphone,1654705258538787800,44.10078784179687,99.023
light,smartphone,1654705258698774300,44.26077416992187,106.988
light,smartphone,1654705258858790700,44.42079077148438,110.970
light,smartphone,1654705259178791000,44.740791015625,108.000
light,smartphone,1654705259338787000,44.900787109375,104.018
light,smartphone,1654705259498787000,45.060787109375,99.968
light,smartphone,1654705259658774800,45.22077490234375,98.010
light,smartphone,1654705259818791400,45.38079150390625,99.023
light,smartphone,1654705259978790400,45.54079028320312,103.005
light,smartphone,1654705260138791000,45.700791015625,99.023
light,smartphone,1654705260298787000,45.860787109375,94.028
light,smartphone,1654705260618774500,46.1807744140625,92.003
light,smartphone,1654705260778787300,46.34078735351562,89.978
light,smartphone,1654705260938787300,46.500787353515626,92.003
light,smartphone,1654705261098791200,46.660791259765624,94.973
light,smartphone,1654705261258790400,46.820790283203124,93.015
light,smartphone,1654705261418791000,46.980791015625,89.033
light,smartphone,1654705261578774500,47.1407744140625,89.978
light,smartphone,1654705261738787600,47.30078759765625,90.990
light,smartphone,1654705262058787300,47.620787353515624,89.033
light,smartphone,1654705262218792700,47.78079272460938,93.015
light,smartphone,1654705262378788400,47.94078833007813,98.010
light,smartphone,1654705262538774000,48.10077392578125,94.028
light,smartphone,1654705262698789600,48.26078955078125,95.985
light,smartphone,1654705262858795300,48.42079516601562,94.028
light,smartphone,1654705263018787300,48.580787353515625,98.010
light,smartphone,1654705263338787000,48.900787109375,94.028
light,smartphone,1654705263498797000,49.060797119140624,101.993
light,smartphone,1654705263658787800,49.22078784179688,100.980
light,smartphone,1654705263818795000,49.380794921875,101.993
light,smartphone,1654705263978794000,49.5407939453125,100.980
light,smartphone,1654705264138791000,49.700791015625,96.998
light,smartphone,1654705264298787300,49.860787353515626,94.973
light,smartphone,1654705264458786800,50.02078686523438,94.028
light,smartphone,1654705264618787300,50.180787353515626,103.005
light,smartphone,1654705264778790400,50.34079028320313,96.998
light,smartphone,1654705265258787300,50.82078735351563,94.973
light,smartphone,1654705265418791700,50.980791748046876,92.003
light,smartphone,1654705265578786600,51.14078662109375,94.973
light,smartphone,1654705265738788000,51.3007880859375,96.998
light,smartphone,1654705265898787300,51.46078735351563,99.968
light,smartphone,1654705266058788000,51.6207880859375,99.023
light,smartphone,1654705266218788400,51.780788330078124,101.993
light,smartphone,1654705266698055400,52.260055419921876,89.978
light,smartphone,1654705266898055400,52.46005541992187,68.985
light,smartphone,1654705267098061600,52.6600615234375,20.993
light,smartphone,1654705267298052600,52.860052490234374,3.983
light,smartphone,1654705267498052600,53.060052490234376,0.000
light,smartphone,1654705267698052400,53.26005224609375,2.970
light,smartphone,1654705267898052900,53.46005297851563,0.000
light,smartphone,1654705291298021400,76.860021484375,0.000
light,smartphone,1654705296698041900,82.26004174804687,0.000
light,smartphone,1654705300298057700,85.8600576171875,0.000
light,smartphone,1654705302098042400,87.66004248046875,0.000
light,smartphone,1654705302298054000,87.86005395507813,0.000
light,smartphone,1654705319098044400,104.66004443359375,0.000
light,smartphone,1654705324498034200,110.0600341796875,0.000
light,smartphone,1654705325298054400,110.86005444335937,0.000
light,smartphone,1654705363698534700,149.26053466796876,0.000
light,smartphone,1654705369098039300,154.6600393066406,0.000
light,smartphone,1654705370098054000,155.66005395507813,0.000
light,smartphone,1654705370898042000,156.4600419921875,0.000
light,smartphone,1654705371098047200,156.66004711914061,0.000
light,smartphone,1654705372298157600,157.86015747070311,0.000
light,smartphone,1654705372498054100,158.06005419921874,0.000
light,smartphone,1654705372898042400,158.46004248046876,0.000
light,smartphone,1654705373098055200,158.66005517578125,0.000
light,smartphone,1654705373898042600,159.46004272460937,0.000
light,smartphone,1654705374098052900,159.66005297851564,0.000
light,smartphone,1654705375698042400,161.26004248046874,0.000
light,smartphone,1654705376498052900,162.0600529785156,0.000
light,smartphone,1654705393098032600,178.66003271484374,0.000
light,smartphone,1654705394298053600,179.8600537109375,0.000
light,smartphone,1654705400298019000,185.86001904296876,0.000
light,smartphone,1654705401498057000,187.06005688476563,0.000
light,smartphone,1654705428898024000,214.46002392578126,0.000
light,smartphone,1654705434298044400,219.86004443359374,0.000
light,smartphone,1654705437498054700,223.0600546875,0.000
light,smartphone,1654705438098144000,223.66014404296874,0.000
light,smartphone,1654705443098024700,228.66002465820313,15.998
light,smartphone,1654705443298546700,228.86054663085937,89.033
light,smartphone,1654705443498164200,229.06016430664062,115.020
light,smartphone,1654705443712833500,229.27483349609375,110.025
light,smartphone,1654705443952834600,229.51483447265625,95.985
light,smartphone,1654705444112833800,229.67483374023436,117.990
light,smartphone,1654705444272833300,229.8348332519531,121.028
light,smartphone,1654705444432833000,229.9948330078125,125.010
light,smartphone,1654705444592844000,230.15484399414063,119.003
light,smartphone,1654705444752847400,230.31484741210937,122.985
light,smartphone,1654705444912834600,230.47483447265626,115.020
light,smartphone,1654705445072835000,230.6348349609375,110.970
light,smartphone,1654705445232833800,230.79483374023437,98.010
light,smartphone,1654705445552862000,231.11486206054687,100.980
light,smartphone,1654705445712849700,231.274849609375,104.018
light,smartphone,1654705445872834600,231.43483447265626,103.005
light,smartphone,1654705446032833500,231.59483349609374,104.018
light,smartphone,1654705446192833300,231.75483325195313,105.030
light,smartphone,1654705446352834300,231.91483422851562,108.000
light,smartphone,1654705446512900900,232.07490087890625,110.970
light,smartphone,1654705446672853200,232.23485327148438,117.990
light,smartphone,1654705446832833300,232.39483325195312,135.000
light,smartphone,1654705446992832800,232.55483276367187,120.015
light,smartphone,1654705447152834300,232.71483422851563,112.995
light,smartphone,1654705447312834300,232.87483422851562,110.025
light,smartphone,1654705447472851500,233.0348515625,108.000
light,smartphone,1654705447632848000,233.1948479003906,100.980
light,smartphone,1654705447792834000,233.354833984375,98.010
light,smartphone,1654705447952833800,233.51483374023437,101.993
light,smartphone,1654705448272833500,233.83483349609375,99.023
light,smartphone,1654705448432848600,233.9948486328125,99.968
light,smartphone,1654705448752834000,234.314833984375,95.985
light,smartphone,1654705448912834800,234.47483471679686,93.015
light,smartphone,1654705449072834600,234.63483447265625,94.028
light,smartphone,1654705449232833300,234.79483325195312,98.010
light,smartphone,1654705449392849700,234.954849609375,94.028
light,smartphone,1654705449552851200,235.11485131835937,92.003
light,smartphone,1654705449712833300,235.2748332519531,93.015
light,smartphone,1654705449872833500,235.43483349609374,90.990
light,smartphone,1654705450032832800,235.5948327636719,89.033
light,smartphone,1654705450192833500,235.75483349609374,89.978
light,smartphone,1654705450352847600,235.91484765625,96.998
light,smartphone,1654705450512848400,236.07484838867188,95.985
light,smartphone,1654705450672833800,236.23483374023436,94.973
light,smartphone,1654705450832833800,236.39483374023436,96.998
light,smartphone,1654705451152833500,236.71483349609375,93.015
light,smartphone,1654705451312852200,236.87485229492188,96.998
light,smartphone,1654705451472834600,237.03483447265626,99.968
light,smartphone,1654705451632833800,237.19483374023437,103.005
light,smartphone,1654705451792834300,237.3548342285156,100.980
light,smartphone,1654705451952834000,237.514833984375,95.985
light,smartphone,1654705452272852500,237.8348525390625,90.990
light,smartphone,1654705452432833800,237.99483374023438,89.978
light,smartphone,1654705452592835300,238.15483544921875,99.023
light,smartphone,1654705452752834600,238.31483447265626,101.993
light,smartphone,1654705452912832300,238.4748322753906,100.980
light,smartphone,1654705453232846600,238.7948466796875,98.010
light,smartphone,1654705453392833500,238.95483349609376,94.973
light,smartphone,1654705453552833000,239.1148330078125,95.985
light,smartphone,1654705453872833500,239.43483349609374,103.005
light,smartphone,1654705454032834000,239.594833984375,99.023
light,smartphone,1654705454352834000,239.914833984375,99.968
light,smartphone,1654705454512833800,240.07483374023437,99.023
light,smartphone,1654705454672832800,240.23483276367188,94.973
light,smartphone,1654705454832834600,240.39483447265624,96.998
light,smartphone,1654705454992834800,240.55483471679688,99.968
light,smartphone,1654705455312833800,240.87483374023438,100.980
light,smartphone,1654705455472835000,241.0348349609375,99.023
light,smartphone,1654705455632833500,241.19483349609374,94.028
light,smartphone,1654705455792834000,241.354833984375,90.990
light,smartphone,1654705455952834000,241.514833984375,94.973
